metabolite_id	metabolite_name	metabolite_formula
m_000_00021l	(13Z,16Z)-docosadienoic acid	C22H40O2
m_000_00021r	(13Z,16Z)-docosadienoic acid	C22H40O2
m_000_00021s	(13Z,16Z)-docosadienoic acid	C22H40O2
m_000_00022c	(13Z,16Z)-docosadienoylcarnitine	C29H53NO4
m_000_00022m	(13Z,16Z)-docosadienoylcarnitine	C29H53NO4
m_000_00022r	(13Z,16Z)-docosadienoylcarnitine	C29H53NO4
m_000_00023c	(13Z,16Z)-docosadienoyl-CoA	C43H74N7O17P3S
m_000_00023m	(13Z,16Z)-docosadienoyl-CoA	C43H74N7O17P3S
m_000_00023r	(13Z,16Z)-docosadienoyl-CoA	C43H74N7O17P3S
m_000_00024c	(15Z)-tetracosenoylcarnitine	C31H59NO4
m_000_00024r	(15Z)-tetracosenoylcarnitine	C31H59NO4
m_000_00025c	(15Z)-tetracosenoyl-CoA	C45H80N7O17P3S
m_000_00025p	(15Z)-tetracosenoyl-CoA	C45H80N7O17P3S
m_000_00025r	(15Z)-tetracosenoyl-CoA	C45H80N7O17P3S
m_000_00026m	(18E)-20-oxo-20-CoA-LTB4	C41H62N7O21P3S
m_000_00026p	(18E)-20-oxo-20-CoA-LTB4	C41H62N7O21P3S
m_000_00027p	(18E)-20-oxo-20-CoA-LTE4	C44H67N8O22P3S2
m_000_00028c	(18R)-HEPE	C20H30O3
m_000_00029c	(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid	C20H30O3
m_000_00030c	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	C20H18O3
m_000_00031c	(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C20H25N3O7S
m_000_00032c	(1R,2S)-naphthalene 1,2-oxide	C10H8O
m_000_00032s	(1R,2S)-naphthalene 1,2-oxide	C10H8O
m_000_00033c	(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C20H25N3O7S
m_000_00034c	(1S,2R)-naphthalene 1,2-oxide	C10H8O
m_000_00035c	(24R)-24,25-dihydroxycalciol	C27H44O3
m_000_00035m	(24R)-24,25-dihydroxycalciol	C27H44O3
m_000_00035s	(24R)-24,25-dihydroxycalciol	C27H44O3
m_000_00036m	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	C48H80N7O21P3S
m_000_00036p	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	C48H80N7O21P3S
m_000_00037p	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	C48H80N7O20P3S
m_000_00038c	(2E)-decenoyl-[ACP]	C10H17OSR
m_000_00039m	(2E)-decenoyl-CoA	C31H52N7O17P3S
m_000_00039p	(2E)-decenoyl-CoA	C31H52N7O17P3S
m_000_00040c	(2E)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00040m	(2E)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00040p	(2E)-docosenoyl-CoA	C43H76N7O17P3S
m_000_00041c	(2E)-dodecenoyl-[ACP]	C12H21OSR
m_000_00042m	(2E)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00042p	(2E)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00043c	(2E)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00043m	(2E)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00043p	(2E)-eicosenoyl-CoA	C41H72N7O17P3S
m_000_00044c	(2E)-heneicosenoyl-CoA	C42H74N7O17P3S
m_000_00044m	(2E)-heneicosenoyl-CoA	C42H74N7O17P3S
m_000_00045c	(2E)-heptadecenoyl-[ACP]	C17H31OSR
m_000_00046m	(2E)-heptadecenoyl-CoA	C38H66N7O17P3S
m_000_00047c	(2E)-heptenoyl-[ACP]	C7H11OSR
m_000_00048m	(2E)-heptenoyl-CoA	C28H46N7O17P3S
m_000_00049c	(2E)-hexacosenoyl-CoA	C47H84N7O17P3S
m_000_00049p	(2E)-hexacosenoyl-CoA	C47H84N7O17P3S
m_000_00050c	(2E)-hexadecenoyl-[ACP]	C16H29OSR
m_000_00051m	(2E)-hexadecenoyl-CoA	C37H64N7O17P3S
m_000_00051p	(2E)-hexadecenoyl-CoA	C37H64N7O17P3S
m_000_00052c	(2E)-hexenoyl-[ACP]	C6H9OSR
m_000_00053m	(2E)-hexenoyl-CoA	C27H44N7O17P3S
m_000_00053p	(2E)-hexenoyl-CoA	C27H44N7O17P3S
m_000_00054c	(2E)-nonadecenoyl-CoA	C40H70N7O17P3S
m_000_00054m	(2E)-nonadecenoyl-CoA	C40H70N7O17P3S
m_000_00055c	(2E)-nonenoyl-[ACP]	C9H15OSR
m_000_00056m	(2E)-nonenoyl-CoA	C30H50N7O17P3S
m_000_00057c	(2E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00057m	(2E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00057p	(2E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00058c	(2E)-octenoyl-[ACP]	C8H13OSR
m_000_00059m	(2E)-octenoyl-CoA	C29H48N7O17P3S
m_000_00059p	(2E)-octenoyl-CoA	C29H48N7O17P3S
m_000_00060c	(2E)-pentadecenoyl-[ACP]	C15H27OSR
m_000_00061m	(2E)-pentadecenoyl-CoA	C36H62N7O17P3S
m_000_00062c	(2E)-pentenoyl-[ACP]	C5H7OSR
m_000_00063m	(2E)-pentenoyl-CoA	C26H42N7O17P3S
m_000_00064c	(2E)-tetracosenoyl-CoA	C45H80N7O17P3S
m_000_00064p	(2E)-tetracosenoyl-CoA	C45H80N7O17P3S
m_000_00065c	(2E)-tetradecenoyl-[ACP]	C14H25OSR
m_000_00066m	(2E)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00066p	(2E)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00067c	(2E)-tricosenoyl-CoA	C44H78N7O17P3S
m_000_00068c	(2E)-tridecenoyl-[ACP]	C13H23OSR
m_000_00069m	(2E)-tridecenoyl-CoA	C34H58N7O17P3S
m_000_00070c	(2E)-undecenoyl-[ACP]	C11H19OSR
m_000_00071m	(2E)-undecenoyl-CoA	C32H54N7O17P3S
m_000_00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	C37H58N7O17P3S
m_000_00072p	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	C37H58N7O17P3S
m_000_00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	C39H62N7O17P3S
m_000_00073p	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	C39H62N7O17P3S
m_000_00074c	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00075p	(2R)-pristanoyl-CoA	C40H72N7O17P3S
m_000_00076p	(2R,6R,10R)-trimethyl-hendecanoyl-CoA	C35H62N7O17P3S
m_000_00077p	(2R,6S,10S)-pristanate	C19H38O2
m_000_00078p	(2S)-pristanoyl-CoA	C40H72N7O17P3S
m_000_00079p	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	C35H60N7O17P3S
m_000_00080p	(2S,6R,10R)-trimethyl-hendecanoyl-CoA	C35H62N7O17P3S
m_000_00081m	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	C37H62N7O18P3S
m_000_00081p	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	C37H62N7O18P3S
m_000_00082m	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	C33H56N7O18P3S
m_000_00082p	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	C33H56N7O18P3S
m_000_00083m	(3S)-3-hydroxylinoleoyl-CoA	C39H66N7O18P3S
m_000_00083p	(3S)-3-hydroxylinoleoyl-CoA	C39H66N7O18P3S
m_000_00084m	(3S)-citramalyl-CoA	C26H42N7O20P3S
m_000_00085c	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA	C43H74N7O18P3S
m_000_00086c	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	C41H68N7O18P3S
m_000_00087c	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	C41H70N7O18P3S
m_000_00088m	(3Z)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00088p	(3Z)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00089m	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	C37H60N7O17P3S
m_000_00089p	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	C37H60N7O17P3S
m_000_00090p	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	C37H64N7O17P3S
m_000_00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	C37H60N7O17P3S
m_000_00091p	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	C37H60N7O17P3S
m_000_00092c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00092m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00092r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00093c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00093m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00093p	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00093r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00094c	(4Z,7Z,10Z,13Z,16Z)-DPA	C22H34O2
m_000_00094l	(4Z,7Z,10Z,13Z,16Z)-DPA	C22H34O2
m_000_00094r	(4Z,7Z,10Z,13Z,16Z)-DPA	C22H34O2
m_000_00094s	(4Z,7Z,10Z,13Z,16Z)-DPA	C22H34O2
m_000_00095c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	C43H66N7O17P3S
m_000_00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	C43H66N7O17P3S
m_000_00095p	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	C43H66N7O17P3S
m_000_00095r	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	C43H66N7O17P3S
m_000_00096c	(5)ppPur-mRNA	C10H19O16P3R2(C5H8O6PR)n
m_000_00097s	(5-L-glutamyl)-L-amino acid	C8H14N2O5
m_000_00098c	(5S,6S)-epoxy-(15R)-hydroxy-ETE	C20H30O4
m_000_00098p	(5S,6S)-epoxy-(15R)-hydroxy-ETE	C20H30O4
m_000_00098r	(5S,6S)-epoxy-(15R)-hydroxy-ETE	C20H30O4
m_000_00099m	(5Z)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00099p	(5Z)-dodecenoyl-CoA	C33H56N7O17P3S
m_000_00100c	(5Z,8Z,11Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00100m	(5Z,8Z,11Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00100r	(5Z,8Z,11Z)-eicosatrienoylcarnitine	C27H47NO4
m_000_00101c	(5Z,8Z,11Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00101m	(5Z,8Z,11Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00101r	(5Z,8Z,11Z)-eicosatrienoyl-CoA	C41H68N7O17P3S
m_000_00102c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	C27H43NO4
m_000_00102m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	C27H43NO4
m_000_00102r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	C27H43NO4
m_000_00103c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	C41H64N7O17P3S
m_000_00103m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	C41H64N7O17P3S
m_000_00103r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	C41H64N7O17P3S
m_000_00104c	(6Z,9Z)-octadecadienoic acid	C18H32O2
m_000_00104l	(6Z,9Z)-octadecadienoic acid	C18H32O2
m_000_00104r	(6Z,9Z)-octadecadienoic acid	C18H32O2
m_000_00104s	(6Z,9Z)-octadecadienoic acid	C18H32O2
m_000_00105c	(6Z,9Z)-octadecadienoylcarnitine	C25H45NO4
m_000_00105m	(6Z,9Z)-octadecadienoylcarnitine	C25H45NO4
m_000_00105r	(6Z,9Z)-octadecadienoylcarnitine	C25H45NO4
m_000_00106c	(6Z,9Z)-octadecadienoyl-CoA	C39H66N7O17P3S
m_000_00106m	(6Z,9Z)-octadecadienoyl-CoA	C39H66N7O17P3S
m_000_00106r	(6Z,9Z)-octadecadienoyl-CoA	C39H66N7O17P3S
m_000_00107c	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	C25H41NO4
m_000_00107m	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	C25H41NO4
m_000_00107r	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	C25H41NO4
m_000_00108c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	C39H62N7O17P3S
m_000_00108m	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	C39H62N7O17P3S
m_000_00108r	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	C39H62N7O17P3S
m_000_00109c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	C31H51NO4
m_000_00109r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	C31H51NO4
m_000_00110c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00110p	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00110r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00111c	(6Z,9Z,12Z,15Z,18Z)-TPA	C24H38O2
m_000_00111l	(6Z,9Z,12Z,15Z,18Z)-TPA	C24H38O2
m_000_00111r	(6Z,9Z,12Z,15Z,18Z)-TPA	C24H38O2
m_000_00111s	(6Z,9Z,12Z,15Z,18Z)-TPA	C24H38O2
m_000_00112c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	C31H49NO4
m_000_00112r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	C31H49NO4
m_000_00113c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	C45H70N7O17P3S
m_000_00113p	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	C45H70N7O17P3S
m_000_00113r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	C45H70N7O17P3S
m_000_00114c	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	C24H36O2
m_000_00114l	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	C24H36O2
m_000_00114r	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	C24H36O2
m_000_00114s	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	C24H36O2
m_000_00115c	(7Z)-octadecenoic acid	C18H34O2
m_000_00115l	(7Z)-octadecenoic acid	C18H34O2
m_000_00115r	(7Z)-octadecenoic acid	C18H34O2
m_000_00115s	(7Z)-octadecenoic acid	C18H34O2
m_000_00116c	(7Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00116m	(7Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00116r	(7Z)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00117c	(7Z)-tetradecenoic acid	C14H26O2
m_000_00117l	(7Z)-tetradecenoic acid	C14H26O2
m_000_00117r	(7Z)-tetradecenoic acid	C14H26O2
m_000_00117s	(7Z)-tetradecenoic acid	C14H26O2
m_000_00118c	(7Z)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00118m	(7Z)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00118p	(7Z)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00118r	(7Z)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00119c	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	C43H70N7O17P3S
m_000_00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	C43H70N7O17P3S
m_000_00119r	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	C43H70N7O17P3S
m_000_00120c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00120m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00120r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	C29H47NO4
m_000_00121c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00121m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00121r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	C43H68N7O17P3S
m_000_00122c	(8Z,11Z)-eicosadienoylcarnitine	C27H49NO4
m_000_00122m	(8Z,11Z)-eicosadienoylcarnitine	C27H49NO4
m_000_00122r	(8Z,11Z)-eicosadienoylcarnitine	C27H49NO4
m_000_00123c	(8Z,11Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00123m	(8Z,11Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00123r	(8Z,11Z)-eicosadienoyl-CoA	C41H70N7O17P3S
m_000_00124c	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	C27H45NO4
m_000_00124m	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	C27H45NO4
m_000_00124r	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	C27H45NO4
m_000_00125c	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	C41H66N7O17P3S
m_000_00125m	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	C41H66N7O17P3S
m_000_00125r	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	C41H66N7O17P3S
m_000_00126c	(9E)-octadecenoylcarnitine	C25H47NO4
m_000_00126m	(9E)-octadecenoylcarnitine	C25H47NO4
m_000_00126r	(9E)-octadecenoylcarnitine	C25H47NO4
m_000_00127c	(9E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00127m	(9E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00127r	(9E)-octadecenoyl-CoA	C39H68N7O17P3S
m_000_00128c	(9E)-tetradecenoic acid	C14H26O2
m_000_00128l	(9E)-tetradecenoic acid	C14H26O2
m_000_00128r	(9E)-tetradecenoic acid	C14H26O2
m_000_00128s	(9E)-tetradecenoic acid	C14H26O2
m_000_00129c	(9E)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00129m	(9E)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00129r	(9E)-tetradecenoyl-CoA	C35H60N7O17P3S
m_000_00130c	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	C31H53NO4
m_000_00130r	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	C31H53NO4
m_000_00131c	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	C45H74N7O17P3S
m_000_00131p	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	C45H74N7O17P3S
m_000_00131r	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	C45H74N7O17P3S
m_000_00132c	(9Z,12Z,15Z,18Z)-TTA	C24H40O2
m_000_00132l	(9Z,12Z,15Z,18Z)-TTA	C24H40O2
m_000_00132r	(9Z,12Z,15Z,18Z)-TTA	C24H40O2
m_000_00132s	(9Z,12Z,15Z,18Z)-TTA	C24H40O2
m_000_00133c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine	C31H51NO4
m_000_00133r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine	C31H51NO4
m_000_00134c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00134p	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00134r	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA	C45H72N7O17P3S
m_000_00135c	(9Z,12Z,15Z,18Z,21Z)-TPA	C24H38O2
m_000_00135l	(9Z,12Z,15Z,18Z,21Z)-TPA	C24H38O2
m_000_00135r	(9Z,12Z,15Z,18Z,21Z)-TPA	C24H38O2
m_000_00135s	(9Z,12Z,15Z,18Z,21Z)-TPA	C24H38O2
m_000_00136c	(ADP-D-ribosyl)n+1-acceptor	
m_000_00137c	(ADP-D-ribosyl)n-acceptor	
m_000_00138g	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C76H127N2O60X
m_000_00138r	(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C76H127N2O60X
m_000_00139g	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X
m_000_00139r	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X
m_000_00140g	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C88H147N2O70X
m_000_00140r	(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C88H147N2O70X
m_000_00141l	(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine	C26H45NO21
m_000_00142g	(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C46H77N2O35X
m_000_00143g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	C52H87N2O40X
m_000_00144g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	C52H87N2O40X
m_000_00145g	(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)	C52H87N2O40X
m_000_00146g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)	C58H97N2O45X
m_000_00147g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)	C58H97N2O45X
m_000_00148g	(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)	C58H97N2O45X
