name	synonyms
<i>cis</i>-caffeate	"3,4-dihydroxy-<i>cis</i>-cinnamate; (2<i>Z</i>)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid; 3,4-dihydroxy-<i>cis</i>-cinnamic acid; <i>cis</i>-caffeic acid; "
2-amino-4-[3-(2-amino-2-carboxylatoethyl)-6-oxocyclohexa-1,4-dien-1-yl]pentanedioate	
tetrahydropteroyl tetra-L-glutamate	"H<sub>4</sub>PteGlu<sub>4</sub>; "
a peptidoglycan dimer with pentapeptide and tetrapeptide stems (<I>meso</i>-diaminopimelate containing)	"two linked disaccharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain); "
CO<SUB>2</SUB>	"carbonic acid gas; carbonic anhydride; carbon dioxide; "
4-hydroxy-3-methylbenzyl alcohol	
bacteriochlorophyll <i>c</i>	
ginsenoside Rd	
acarbose	"Prandase; Glucobay; "
thermospermine	"N1-(3-(3-aminopropylamino)propyl)butane-1,4-diamine; 1,12-diamino-4,8-diazadodecane; "
cysteinyldopa	
"&gamma;-thiomethyl glutamate"	
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	"aminoimidazole carboxamide ribonucleotide; 5'-phosphoribosyl-5-amino-4-imidazole carboxamide; 5'-P-ribosyl-5-amino-4-imidazole carboxamide; AICAR; 5-amino-4-imidazolecarboxamide ribotide; Z-nucleotide; AICA ribonucleotide; Imidazole-4-carboxamide, 5-amino-1-beta-D-ribofuranosyl-, 5-(dihydrogen phosphate); "
2'-hydroxydaidzein	"2',4',7-trihydroxyisoflavone; "
"curcumin 4'-<i>O</i>-&beta;-<i>D</i>-gentiotetraside"	
"2-<i>O</i>-digalloyl-1,3,4,6-tetra-<i>O</i>-&beta;-<i>D</i>-galloylglucose"	
"1-&alpha;-linolenoyl-2-palmitoyl-phosphatidylglycerol"	"phosphatidylglycerol (1-18:3-2-16:0); 18:3-16:0-PG; 1-18:3-2-16:0-phosphatidylglycerol; 1-(9Z,12Z,15Z-octadecatrienoyl)-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol); "
L-tartrate	"L(+)-tartaric acid; L-tartarate; weinsaeure; L-tartaric acid; (+)-tartrate; L-threarate; tartrate; (2R,3R)-tartrate; (R,R)-tartrate; (2R,3R)-tartaric acid; tartaric acid; "
2,6-diaminopurine	
phenylacetylglycine	"phenacetylglycine; glycine, <i>N</i>-(phenylacetyl)-; <i>N</i>-phenylacetylglycine; <i>N</i>-(phenylacetyl)glycine; <i>N</i>-phenacetylglycine; phenaceturic acid; "
"GDP-2-acetamido-2-deoxy-&beta;-mannuronate"	"GDP-ManNAcA; "
o-dgal-HEX-0:0|1:aldi	"open-Gal; "
hemigossypol-6-methyl ether	
dIMP	"2'-deoxy-IMP; 2'-deoxy-5'-inosinic acid; 2'-Deoxyinosine 5'-phosphate; Hypoxanthine deoxyriboside; 9-(2-deoxy-5-O-phosphono-&beta;-D-erythro-pentofuranosyl)-9H-purin-6-ol; 2'-Deoxyinosine 5'-monophosphate; Deoxyinosine monophosphate; "
pre-heme <i>d</i><sub>1</sub>	
glutaramate	
cyanidin-3-<i>O</i>-rutinoside	"sambucin; antirrhinin; keracyanin; cyanidin 3-rutinoside; cyanidin 3-rhamnoglucoside; cyanidin-3-O-&alpha;-L-rhamnosyl-(1&rarr;6)-&beta;-D-glucoside; "
olivoretin B	
<i>N</i>-monomethylethanolamine	
Sulindac	
maltohexaose	
3-chlorodiaminopimelate	"3-chlorodiaminopimelic acid; "
"di-homo-&gamma;-linolenate"	"(8Z,11Z,14Z)-icosatrienoic acid; (8Z,11Z,14Z)-eicosatrienoic acid; DGLA; (Z,Z,Z)-8,11,14-eicosatrienoate; (8Z,11Z,14Z)-eicosatrienoate; (8Z,11Z,14Z)-icosa-8,11,14-trienoate; di-homo-&gamma;-linolenic acid; (8Z,11Z,14Z)-eicosatri-8,11,14-enoate; (8Z,11Z,14Z)-icosatrienoate; (Z,Z,Z)-8,11,14-eicosatrienoic acid; "
cyanophycin primer	"[N-&beta;-aspartylarginine]<sub>3</sub>; [L-4-(L-arginin-2-N-yl)aspartate]<sub>3</sub>; [L-Asp(4-L-Arg)] hexapeptide; "
4'-phosphopantetheine	"pantetheine 4'-phosphate; phosphopantotheine; phosphopantetheine; "
3-methoxy-5-methyl-1-naphthoate	"3-methoxy-5-methyl-1-naphthoic acid; "
isomethyleugenol	
iodonium diphenyl chloride	
3,3-dimethyl-2-oxobutyric acid 5-(6-aminopurin-9-yl)-3,4-dihydroxytetrahydrofuran-2-ylmethyl ester	
aurachin C	
4-oxoproline	"4-oxopyrrolidine-2-carboxylic acid; "
ajugose	"&alpha;-D-Galp-(1->6)-&alpha;-D-Galp-(1->6)-&alpha;-D-Galp-(1-6)-&alpha;-D-Galp-(1->6)-&alpha;-D-Glcp-(1->2)-&beta;-D-Fruf; "
sulfurous acid	"H2SO3; "
"&alpha;-ribazole"	"N1-(&alpha;-D-ribosyl)-5,6-dimethylbenzimidazole; "
prolycopene	"9,9'-di-<i>cis</i>-&zeta;-carotene; 7,9,9',7'-<i>tetracis</i>-lycopene; 7,9,9',7'-tetra-<i>cis</i>-lycopene; "
(3-phenoxyphenyl)methanol	"3-phenoxybenzylalcohol; "
2-oxo-indole-3-acetate	"2-indolinone-3-acetate; 2-oxoindole-3-acetic acid; 2-indolinone-3-acetic acid; "
"7-O-[2-aminoethoxy(hydroxy)phosphoryl]-&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A"	"phosphoethanolamine-Kdo2-lipid A; "
phosphinomethylmalate	
heliocide H2	
neral	"<i>cis</i>-citral; neroli aldehyde; "
isobazzanene	
5-iodo-2'-dUMP	
2-chloro-L-alanine	
arbutin-6-phosphate	"arbutin-6P; arbutin 6-phosphate; arbutin-6-p; "
(R)-2-methylimino-1-phenylpropan-1-ol	
(<i>S</i>)-dichlorprop	"(2<i>S</i>)-(2,4-dichlorophenoxy)propanoate; "
"&beta;-L-aspartylhydroxamate"	
pppGp(2'-5')A	
hydroxymethyl-dCDP	"2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate; "
phytanoyl-CoA	
cholesterol 20,22 epoxide	
2-oxo-6-methylthiohexanoate	"2-oxo-6-methylthiohexanoic acid; "
"9,9'-di-<i>cis</i>-&zeta;-carotene"	
etoposide	"4'-demethylepipodophyllotoxin ethylidene-&beta;-<i>D</i>-glucoside; Prestwick 211; "
D-erythrose	"D-erythro-tetrose; "
4-methylumbelliferyl acetate	
"&gamma;-himachalene"	
2-14:0-lysophosphatidylglycerol	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0); 2-14:0-lysoPG; "
GDP-6-deoxy-4-keto-L-<i>xylo</i>-heptose	
GDP-6-deoxy-4-keto-D-<i>lyxo</i>-heptose	"GDP-4-oxo,6-deoxy-D-<i>lyxo</i>-heptose; "
8-methylthiooctylhydroximate	
tabersonine	
(2R,3S)-3,5-dihydroxy-2-methyl-2,3-dihydropyran-4-one	
cholest-4-en-3-one	"4-cholesten-3-one; 4-cholestene-3-one; cholestenone; "
Na<SUP>+</SUP>	"Sodium; sodium ion; "
3-methylsulfinylpropyl-glucosinolate	"3-methylsulfinylpropyl glucosinolate; &beta;-D-glucopyranose, 1-thio-, 1-(4-(methylsulfinyl)-N-(sulfooxy)butanimidate); glucoiberin; "
5-chloroprotocatechuate	"5-chloroprotocatehuic acid; 5-chloro-3,4-dihydroxybenzoate; 5-chloro-3,4-dihydroxybenzoic acid; "
(2<i>R</i>,3<i>S</i>)-2-methylisocitrate	"<i>threo</i>-Ds-2-methylisocitrate; methylisocitric acid; methylisocitrate; (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate; "
demethylarginomycin	
5-<i>epi</i>-valiolone	
(2E,6E,10E,14E)-2,6,10,14-tetramethylhexadeca-2,6,10,14-tetraene-1,16-diol	
"<i>trans</i>-&Delta;<sup>3</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"	"<i>trans</i>-&Delta;3-<i>cis</i>-&Delta;5-dodecenoyl-ACP; AcpP; "
2,4-pyridinedicarboxylate	
1-18:2-2-16:1-monogalactosyldiacylglycerol	"18:2-16:1-MGDG; 1-(9Z,12Z-octadecadienoyl)-2-(7Z-hexadecenoyl)-3-O-beta-D-galactosyl-sn-glycerol; "
2,4-xylenol	"2,4-dimethylphenol; "
7-dehydroporiferasterol	"(22E,24R)-24-ethylcholesta-5,7,22-trien-3-&beta;-ol; porifersta-5,7,22<i>E</i>-trienol; 24R-stigmasta-5,7,22-trien-3&beta;-ol; "
citronellyll-CoA	"citronellyll-coenzyme A; "
puromycin aminonucleoside 5'-monophosphate	"PAN-5'-P; "
"&beta;-ylangene"	
2-methyl-<I>cis</I>-dienelactone	
arabidopaldehyde	
S-carbamylcysteine	"L-cysteine, S-carbamate (ester); "
deacetylcephalosporin-C	
CDP-1,2-dicis-vaccenoylglycerol	
C60 dolichol phosphate	"dolichol-12 phosphate; "
isoformononetin	
"GDP-&alpha;-D-glucose"	"GDP-glucose; "
methylsulfonyl	
rhizocticin D	
stearate	"octadecanoate (n-C18:0); octadecanoic acid; stearic acid; "
cellotetraose	
xanthohumol	"(E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one; "
4-hydroxyhexan-3-one	"4-Hydroxy-3-hexanone; Propioin; "
fructose 1,6-bisphosphate	"D-fructose 1,6-diphosphate; D-fructos 1,6-bisphosphate; fructose 1,6-bisphosphate; &beta;-D-fructose 1,6-diphosphate; fructose 1,6-diphosphate; fructose 1,6-biphosphate; FBP; "
lupiwighteone	"8-prenyl-5,7,4'-trihydroxyisoflavone; "
simazine	
1,2-dicis-vaccenoyl-phosphatidate	"18:1-18:1-PA; 1,2-dicis-vaccenoyl phosphatidate; 1,2-(11Z-octadecenoyl)-sn-glycerol-3-phosphate; "
densipolate	"(9Z,12R,15Z)-12-hydroxyoctadeca-9,15-dienoate; densipolic acid; "
"&beta;-paxitriol"	
2-(2,4-dihydroxy-6-methylbenzoyl)benzene-1,3,5-triol	
sitosterol	"22,23-dihydrostigmasterol; quebrachol; cinchol; &beta;-sitosterol; rhamnol; cupreol; "
duroquinone	"p-benzoquinone, tetramethyl-; 2,3,5,6-tetramethylbenzoquinone; tetramethyl-1,4-benzoquinone; tetramethylquinone; tetramethyl-p-quinone; p-benzoquinone, 2,3,5,6-tetramethyl-; tetramethyl-p-benzoquinone; 2,3,5,6-tetramethyl-p-benzoquinone; "
26-degluco-protogracillin	
(9Z,12E)-hexadecadienoyl-CoA	
L-arabitol	"1,2,3,4,5-pentanepentol; L-lyxitol; arabitol; L-arabinitol; L-arabinol; arabinitol; "
"4-(&gamma;-L-glutamylamino)butanoate"	"&gamma;-glutamyl-&gamma;-aminobutyrate; &gamma;-glu-GABA; &gamma;-glutamyl-&gamma;-aminobutyric acid; &gamma;-glutamyl-&gamma;-aminobutanoate; 4-(glutamylamino)butanoate; "
all-<i>trans</i>-nonaprenyl diphosphate	"solanyl pyrophosphate; solanesyl pyrophosphate; solanesyl diphosphate; (hydroxy-(3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-2,6,10,14,18,22,26,30,34-nonaenoxy)phosphinoyl)oxyphosphonic acid; "
N-(aminomethyl)urea	
hyperforin	
6-oxocampestanol	"oxocampestanol; "
cytochrome c	"cytorest; myohematin; "
octacosanal	
betulinate	"3&beta;-hydroxy-20(29)-lupaene-28-oic acid; mairin; betulinic acid; "
5',5'''-diadenosine hexaphosphate	"adenosine(5')hexaphospho(5')adenosine; P1-P6-bis(5'-adenosyl) hexaphosphate; Ap<sub>6</sub>A; AppppppA; P(1),P(6)-di(adenosine-5'-)hexaphosphate; Ap6A; P<sup>1</sup>,P<sup>6</sup>-di(adenosine-5')-hexaphosphate; "
renilla luciferin	"coelenterazine; "
octanoate	"octanoate (n-C8:0); n-caprylic acid; capryloate; 1-heptanecarboxylic acid; neo-fat 8; C-8 acid; caprylic acid; octoic acid; octanoic acid; n-octanoic acid; n-octic acid; n-octylic acid; "
L-thyronine	"4-(4-hydroxyphenoxy)-L-phenylalanine; <i>O</i>-(4-hydroxyphenyl)-L-tyrosine; "
isovitexin 7-<i>O</i>-xylosyl 2''-<i>O</i>-arabinoside	
3-<i>cis</i>-octadecenoyl-CoA	"3-<i>cis</i>-octadecenoyl coenzyme A; "
5'-chloroformycin	
"aphidicolan-16&beta;-ol"	"(4aS,6aS,8S,9R,11aS,11bS)-4,4,9,11b-tetramethyltetradecahydro-8,11a-methanocyclohepta[a]naphthalen-9-ol; "
saframycin A	
3,4-hexanedione	
fagopyritol A1	"<i>O</i>-&alpha;-D-galactopyranosyl-(1->3)-1D-<i>chiro</i>-inositol; "
L-2-aminopropionaldehyde	
D-tartrate	"(2S,3S)-tartaric acid; D-tartarate; (-)-tartrate; (2S,3S)-tartrate; (S,S)-tartrate; (-)-tartaric acid; (S,S)-tartaric acid; D-tartaric acid; "
3-oxo-lignoceroyl-CoA	"3-oxotetracosanoyl-CoA; "
6-methylthiohexanonitrile oxide	
"deamino &alpha;-keto demethylphosphinothricin"	
(9Z,12Z,15Z)-hexadeca-9,12,15-trienoyl-CoA	"9,12,15-cis-hexadecatrienoyl-CoA; 16:3-delta9,12,15-CoA; 9Z,12Z,15Z-hexadecatrienoyl-CoA; "
8-methylthiooctyldesulfoglucosinolate	
"dTDP-&alpha;-D-glucose"	"dTDP-glucose; dTDP-D-glucose; TDP-glucose; "
n-pentane	
"&beta;-gurjunene"	
sinapoyl-(S)-malate	
"&beta;-ketovaleryl-CoA"	
"GMP-N-&epsilon;-(N-&alpha;-acetyl lysine methyl ester) 5'-phosphoramidate"	"GMP-lysine; "
5-methyl-phenazine-1-carboxylate	"5-methyl-phenazine-1-carboxylic acid; "
sibirene	
(S)-3-hydroxyhexacosanoyl-CoA	
hydrogenphosphonate	"dihydrogenphosphite; "
"N-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose"	"N-methylanthraniloyl-&beta;-<i>D</i>-glucose; N-methylanthraniloyl-&beta;-<i>D</i>-glucoside; "
<i>aldehydo</i>-L-oleandrose	
L-<i>erythro</i>-3-phenylserine	"L-<i>erythro</i>-&beta;-phenylserine; (2S,3R)-2-amino-3-hydroxy-3-phenylpropanoic acid; L-<i>erythro</i>-phenylserine; "
3-oxo-palmitate	"3-oxo-hexdecanoate; 3-ketopalmitate; 3-keto palmitic acid; 3-oxohexadecanoic acid; "
coproporphyrin III	
9,10-epoxystearate	"cis-3-octyloxirane octanoic acid; cis-9,10-epoxystearic acid; 9R,10S-epoxystearate; 9,10-epoxystearic acid; epoxyoleic acid; "
"4&alpha;-hydroxymethyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol"	
drimenol	
4'-methoxydehydrocyclopeptine	"4'-methoxydehydrocyclopeptin; "
(S)-2-hydroxybutanoate	"L-2-hydroxybutyrate; (S)-2-hydroxybutyrate; L-2-hydroxybutyric acid; a-hydroxybutyric acid; L-&alpha;-hydroxybutyrate; "
4-amino-2-methyl-5-pyrimidinemethanol	"pyramine; pyramin; 4-amino-2-methyl-5-hydroxymethylpyrimidine; Toxopyrimidine; HMP; hydroxymethylpyrimidine; 4-amino-5-hydroxymethyl-2-methylpyrimidine; "
<i>O</i>-phosphoethanolamine	"2-aminoethyl phosphate; phosphoryl-ethanolamine; ethanolamine phosphate; O-phosphorylethanolamine; phosphoethanolamine; "
4-[(2Z)-2-(methylimino)ethyl]phenol	
allocholate	"3&alpha;,7&alpha;,12&alpha;-trihydroxy-5&alpha;-cholan-24-oic acid; allocholic acid; 5&alpha;-cholic acid; "
lathosterol	"&Delta;<SUP>7</SUP>-cholesten-3-&beta;-ol; cholesta-7-enol; &gamma;-cholesterol; 5&alpha;-cholest-7-en-3&beta;-ol; &alpha;-cholest-7-en-3&beta;-ol; "
paraquat	
"(3S)-&beta;-arginine"	"(3S)-5-{[amino(iminio)methyl]amino}-3-ammoniopentanoate; L-&beta;-arginine; "
dihydroxyphaseic acid	"DPA; (-)-dihydroxyphaseic acid; "
S-(4-bromophenyl)-mercaptopyruvate	"3-(4-bromophenyl)sulfanyl-2-oxo-propanoic acid; "
<i>L</i>-2-aminodecanoate	"<i>L</i>-2-aminodecanoic acid; "
wighteone	"6-prenyl-5,7,4'-trihydroxyisoflavone; 6-isopentenylgenistein; "
maltitol	"lactitolum; &alpha;-D-glucopyranose-(1&rarr;4)-D-glucitol; lactitol; 4-O-&beta;-D-galactopyranosyl-D-glucitol; "
erythrulose 1-phosphate	"glycerotetrulose 1-phosphate; glycerotetrulose-1-P; erythrulose-1-P; "
tetraborate	
diaminobiotin	
2',3',4'-<i>O</i>-methyl-rhamnosyl tetracyclic spinosyn pseudoaglycone	"(2R,3aS,5aR,5bS,9S,13S,14R,16aS,16bR)-9-ethyl-13-hydroxy-14-methyl-2-{[(3R,4R,5S,6S)-3,4,5-trimethoxy-6-methyloxan-2-yl]oxy}-1H,2H,3H,3aH,5aH,5bH,6H,7H,9H,10H,11H,12H,13H,14H,15H,16aH,16bH-as-indaceno[3,2-d]oxacyclododecane-7,15-dione; "
indole-3-acetyl-isoleucine	"indole-3-acetyl-Ile; IAA-Ile; "
3-(<i>N</i>-morpholino)propanal	"3-morpholin-4-ylpropanal; 3-morpholinopropanal; "
N-methyltyramine	
ADP ribose 1''-phosphate	"adenosine diphosphate ribose 1'' phosphate; "
(<i>R</i>)-piperidine-3-carboxylate	"D-pipecolate; D-piperidine-3-carboxylic acid; (<i>R</i>)-piperidine-3-carboxylic acid; D-piperidine-3-carboxylate; "
"30-hydroxy-&beta;-amyrin"	
fluoropyruvate	
trigalacturonate	
"<i>N</i>-acetyl-&beta;-neuraminate 9-phosphate"	"<i>N</i>-acetyl-&beta;-neuraminate-9-P; <i>N</i>-acetyl-&beta;-neuraminic acid 9-phosphate; "
S-(2-methylbutanoyl)-dihydrolipoamide	"S-(2-methylbutyryl)dihydrolipoamide; "
methylamine	"methylammonium; MMA; NH2-; methylammonium ion; aminomethane; monomethylamine; monomethylammonium ion; methanamine; "
phenylhydrazine	"monophenylhydrazine; hydrazine, phenyl-; hydrazinobenzene; hydrazobenzene; hydrazine-benzene; "
(4E,8E)-sphingadienine-18:0, ceramide	"octadecanoyl-(4E,8E)-sphingadienine; N-octadecanoyl-4,8-sphingadienine; N-octadecanoyl-sphinga-4,8-dienine; (4E,8E)-sphingadienine-octadecanoic acid; sphinga-(4E,8E)-dienine-18:0; (4E,8E)-sphingadienine-octadecanoate; 4,8-sphingadienine-18:0, ceramide; all trans-4,8-sphingadienine-18:0; (4E,8E)-sphingadienine-stearic acid; "
lanosterol	"4,4,14&alpha;-trimethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol; "
monoanhydrobacterioruberin	
"5&alpha;-cholestan-3-one"	
(<i>E</i>)-3-penten-2-one	
mitomycin C	
glycyl-L-aspartate	"gly-asp; glycyl-L-aspartic acid; "
aureothin	
2-methyladenine	
1-pentan-3-one	"diethylcetone; diethyl ketone; pentan-3-one; dimethylacetone; ethyl ketone; 3-pentanone; "
dipropylether	"dipropyl ether; di-N-propylether; 4-oxaheptane; Di-n-propyl ether; dipropyl oxide; propyl ether; 1-propoxypropane; propane, 1,1'-oxybis-; ether, di-n-propyl-; 1,1'-oxybispropane; n-propyl ether; "
echinocandin D	
"3-<i>O</i>-&alpha;-L-rhamnosyl-(1&rarr;4)-&beta;-D-glucosyl-diosgenin"	
xylotetraose	
<i>N</i>-acetyl-9-<i>O</i>-acetylneuraminate	
7-oxatyphasterol	"(22R,23R,24S)-3alpha,22,23-trihydroxy-24-methyl-B-homo-7-oxa-5alpha-cholestan-6-one; "
N-methylhexanamide	
N-methylethanolamine phosphate	"P-MME; "
C95 dolichol phosphate	"dolichol-19 phosphate; "
9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA	"9Z, 11E-octadecadienoyl-CoA; "
chelidonate	"jerva acid; chelidonic acid; jervasic acid; "
HT-2 toxin	
thalianol	"(13R,14R,17E)-podioda-8,17,21-trien-3&beta;-ol; (13R,14R,17E)-podioda-8,17,21-trien-3beta-ol; (3S,13S, 3R)-malabarica-8,17,21-trien-3-ol (obsolete); "
(2S,3S,6S)-3-fluoro-2,6-diaminopimelate	
"cyanidin 3-<i>O</i>-&beta;-<i>D</i>-(p-coumaroyl)-sambubioside"	"cyanidin 3-<i>O</i>-[2""-<i>O</i>-xylosyl) 6""-<i>O</i>-(p-coumaroyl) glucoside; "
1-16:1-2-18:2-phosphatidylethanolamine	"16:1-18:2-PE; 1-(9Z-hexadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine; phosphatidylethanolamine (1-16:1-2-18:2); "
4-chloroindole-3-acetate	"4-chloroindoleacetic acid; 4-chloroindole-3-acetic acid; 4-chloroindoleacetate; "
"&gamma;-glutamylanilide diol"	"<i>N</i>-glutamylanilide diol; "
3-sulfocatechol	"3SC; 2,3-dihydroxybenzenesulfonate; "
trichloroethanol glucoside	
<i>N<sup>2</sup></i>acetyl-L-2-aminoadipate 6-phosphate	"<i>N<sup>2</sup></i>acetyl-&alpha;-aminoadipyl-&delta;-phosphate; "
gilvocarcin V	
<i>N</i>-citryl-spermidine	"<i>N<sup>8</sup></i>-citryl-spermidine; "
"UDP-<i>N</i>-acetyl-&alpha;-D-galactosamine"	"UDP-GalNAc; "
trichloromethylthioester of Cu:pyrimidine-2,6-bis(thiocarboxylate)	
"&alpha;-D-gulose"	"&alpha;-D-gulopyranose; "
kaempferol-3-glucoside	"astragalin; kaempferol 3-<i>O</i>-&beta;-D-glucoside; kaempferol-3-<i>O</i>-D-glucoside; "
ureidomalonate	"3-oxo-3-ureidopropanoate; <i>N</i>-malonylurea; ureidomalonic acid; 3-oxo-3-ureidopropionic acid; "
3-chlorocatechol	"3-chloro-1,2-benzenediol; 3-chlorobenzene-1,2-diol; "
alloxan	"2,4,5,6(1H,3H)-pyrimidinetetrone; 2,4,5,6-tetraoxohexahydropyrimidine; 5,6-dioxouracil; "
1-22:2-2-18:3-phosphatidylcholine	"1-(13Z,16Z-docosadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine; 22:2-18:3-PC; phosphatidylcholine (1-22:2-2-18:3); "
decylplastoquinone	
1-piperideine 6-carboxylate	"1,6-didehydropiperidine-2-carboxylate; &Delta;<sup>1</sup>-piperideine-6-carboxylate; &Delta;<sup>6</sup>-piperideine-2-carboxylate; (<i>S</i>)-2,3,4,5-tetrahydropiperidine-2-carboxylate; 2,3,4,5-tetrahydropyridine-2-carboxylate; "
5,6-dihydroxy-3-methyl-2-oxo-1,2-dihydroquinoline	"5,6-dihydroxy-3-methylhydroquinolin-2-one; "
GDP-<i>myo</i>-inositol	
fuscicoccin A	"diterpene glycoside; fusicoccin; "
5-amino-5-deoxy-D-galactopyranoside	
4-hydroxy-3-indolylmethyl-glucosinolate	"4-hydroxyindol-3-ylmethylglucosinolate; 4-hydroxyglucobrassicin; 1-S-[2-(4-hydroxy-1H-indol-3-yl)-N-(sulfooxy)ethanimidoyl]-1-thio-&beta;-D-glucopyranose; "
D-1-guanidino-1-deoxy-3-dehydro-<i>scyllo</i>-inositol	"1D-1-guanidino-1-deoxy-3-dehydro-scyllo-inositol; amidino-3-keto-<i>scyllo</i>-inosamine; "
ethylsulfenate	"ethylsulfenic acid; "
5-valerolactone	
phenyl sulfate	"phenol sulfate; "
octopamine	"1-(4-hydroxyphenyl)-2-aminoethanol; p-hydroxyphenylethanolamine; D,L-octopamine; "
dipyrromethane	"dipyrromethane cofactor; 3-{2-[4-(2-carboxy-ethyl)-3-carboxymethyl-5H-pyrrol-2-ylmethyl]-4-carboxymethyl-5-methyl-2H-pyrrol-3-yl}-propionate; "
"UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-<i>N</i><sup>&epsilon;</sup>-D-lysine"	
"4&alpha;-formyl-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol"	
3-hydroxy-5-<i>cis</i>-tetradecenoyl-CoA	
18-oxo candicinolide	
ubiquinol-6	"dihydroubiquinone; ubiquinol(30); ubiquinol; reduced ubiquinone; "
(3R,4E)-3-hydroxyhex-4-en-2-one	
1,2-dipalmitoyl-phosphatidylglycerol-phosphate	"phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0); "
4-ethylguaiacol	"<i>p</i>-ethylguaiacol; "
(R)-canadine	
chlorophyll b	
(<i>S</i>)-nicotine	"nicotine; "
avilamycin A	
N-adenylylanthranilate	
acrylate	"acrylic acid; "
3,22-dimethyl-1,2,23,24-tetradehydro-2,3,22,23-tetrahydrosqualene	"dimethylsqualene; "
benzoyl-pyrrothine	
4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate	
